Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-09,24.879365421977166,24.898197515113555,24.849628448486328,24.849628448486328,17300,0.0,0
2020-09-10,24.839715719438892,24.849628043774405,24.82583884348569,24.847646713256836,23500,0.0,0
2020-09-11,24.819890883899586,24.82980131682303,24.80006623688791,24.81493377685547,33400,0.0,0
2020-09-14,24.790157484026405,24.83971721811152,24.790157484026405,24.80006980895996,13100,0.0,0
2020-09-15,24.800065826759884,24.8099781501018,24.79015350341797,24.79015350341797,12100,0.0,0
2020-09-16,24.750507354736328,24.764384231061666,24.750507354736328,24.750507354736328,14100,0.0,0
2020-09-17,24.770328354024535,24.78024067716528,24.76041603088379,24.76041603088379,15200,0.0,0
2020-09-18,24.753479425476538,24.760417863130264,24.750505539256014,24.755462646484375,5300,0.0,0
2020-09-21,24.770328354024535,24.770328354024535,24.76041603088379,24.76041603088379,8600,0.0,0
2020-09-22,24.760417863130264,24.77033018700451,24.75546264648437,24.755462646484375,8100,0.0,0
2020-09-23,24.765375212382835,24.777268866798686,24.765375212382835,24.77033042907715,4400,0.0,0
2020-09-24,24.770328354024535,24.77131901916391,24.76041603088379,24.76041603088379,7000,0.0,0
2020-09-25,24.765373137745325,24.78024067716528,24.750503707743043,24.76041603088379,115400,0.0,0
2020-09-28,24.74059097364319,24.750503296619286,24.735635757446293,24.73563575744629,6200,0.0,0
2020-09-29,24.72076995740469,24.73068228107813,24.710857633731255,24.725725173950195,8000,0.0,0
2020-09-30,24.740592956542965,24.75050528031351,24.740592956542965,24.74059295654297,5400,0.0,0
2020-10-01,24.723735085671166,24.723735085671166,24.71183334196136,24.713817596435547,24900,0.013,0
2020-10-02,24.706876142816515,24.7187759952475,24.706876142816515,24.708860397338867,3000,0.0,0
2020-10-05,24.703900706816842,24.73365317524586,24.703900706816842,24.708860397338867,28900,0.0,0
2020-10-06,24.684062499837502,24.70389747619629,24.684062499837502,24.70389747619629,3900,0.0,0
2020-10-07,24.695965425012187,24.703898659308656,24.693981170654297,24.693981170654297,3800,0.0,0
2020-10-08,24.693981170654297,24.69894086076525,24.693981170654297,24.693981170654297,1700,0.0,0
2020-10-09,24.67414869863039,24.703901167614376,24.67414869863039,24.68902587890625,16000,0.0,0
2020-10-12,24.689025878906254,24.689025878906254,24.689025878906254,24.68902587890625,600,0.0,0
2020-10-13,24.71381496437568,24.71381496437568,24.70389747619629,24.70389747619629,400,0.0,0
2020-10-14,24.71381496437568,24.71381496437568,24.70389747619629,24.70389747619629,300,0.0,0
2020-10-15,24.70389747619629,24.71381496437568,24.693979988016896,24.70389747619629,2200,0.0,0
2020-10-16,24.699930859238023,24.70389747619629,24.693979988016896,24.70389747619629,600,0.0,0
2020-10-19,24.693980587105862,24.703898075525856,24.693980587105862,24.69894027709961,6300,0.0,0
2020-10-20,24.70389747619629,24.71381496437568,24.693979988016896,24.70389747619629,16800,0.0,0
2020-10-21,24.743572235107422,24.74853003437639,24.743572235107422,24.743572235107422,2700,0.0,0
2020-10-22,24.733652698849347,24.733652698849347,24.728693008422855,24.72869300842285,1900,0.0,0
2020-10-23,24.748525619506832,24.748525619506832,24.748525619506832,24.748525619506836,500,0.0,0
2020-10-26,24.753487833645362,24.753487833645362,24.733654745001655,24.743572235107422,700,0.0,0
2020-10-27,24.753483417891385,24.753483417891385,24.748525619506832,24.748525619506836,100,0.0,0
2020-10-28,24.74356782112228,24.7554676721857,24.74356782112228,24.748525619506836,1300,0.0,0
2020-10-29,24.73365151534325,24.7534846013972,24.73365151534325,24.738609313964844,1800,0.0,0
2020-10-30,24.74555459818788,24.74555459818788,24.733654745001655,24.743572235107422,1600,0.0,0
2020-11-02,24.716769063113357,24.716769063113357,24.70684242248535,24.70684242248535,9200,0.023,0
2020-11-03,24.70684242248535,24.70684242248535,24.70684242248535,24.70684242248535,100,0.0,0
2020-11-04,24.696915781857346,24.716769063113357,24.696915781857346,24.70684242248535,200,0.0,0
2020-11-05,24.686988830566406,24.686988830566406,24.686988830566406,24.686988830566406,1100,0.0,0
2020-11-06,24.701877593994144,24.701877593994144,24.701877593994144,24.70187759399414,100,0.0,0
2020-11-09,24.74654579162598,24.75647243097302,24.74654579162598,24.746545791625977,3900,0.0,0
2020-11-10,24.75647513755406,24.75647513755406,24.736621856689453,24.736621856689453,1800,0.0,0
2020-11-11,24.74654579162598,24.74654579162598,24.74654579162598,24.746545791625977,100,0.0,0
